Country;Technology;Assumptions;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Egypt;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Spain;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Finland;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
France;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Ghana;PV;baseline;718,9322942;683,5498827;654,6573726;630,4074718;609,6247024;591,5184823;575,5336591;561,2666837;548,4157707;536,7498248;526,0882896;513,4082409;502,0979227;491,6674439;482,0420963;472,9012187;464,04824;455,9264813;448,2331852;441,0311528;434,0689619;426,783715;419,5804907;412,8658996;408,1517532;394,1220349;387,498112;381,3310878;375,5680057;370,1642942;365,0821161
Georgia;PV;baseline;854,9465133;812,870132;778,5114712;749,6737513;724,9591066;703,4273854;684,4184064;667,4522735;652,1701067;638,2970899;625,6185075;610,5395306;597,0894224;584,6856098;573,2392505;562,3690176;551,841151;542,1828434;533,0340588;524,4694798;516,1901175;507,5265807;498,9605843;490,9756651;485,3696532;468,6856638;460,8085663;453,4748077;446,6214128;440,1953775;434,1517062
Equatorial Guinea;PV;baseline;718,9322942;683,5498827;654,6573726;630,4074718;609,6247024;591,5184823;575,5336591;561,2666837;548,4157707;536,7498248;526,0882896;513,4082409;502,0979227;491,6674439;482,0420963;472,9012187;464,04824;455,9264813;448,2331852;441,0311528;434,0689619;426,783715;419,5804907;412,8658996;408,1517532;394,1220349;387,498112;381,3310878;375,5680057;370,1642942;365,0821161
Greece;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Hungary;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Indonesia;PV;baseline;528,5123894;502,5015356;481,2616362;463,4346821;448,1565381;434,8460196;423,0950144;412,6068595;403,1597019;394,5836551;386,745986;377,4244367;369,1098243;361,442013;354,3660817;347,6463014;341,1381657;335,1675755;329,5119633;324,2174962;319,099345;313,7437041;308,4483608;303,512229;300,0466943;289,7329555;284,863477;280,3298808;276,0932367;272,1207785;268,3846908
Ireland;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
India;PV;baseline;567,3735949;539,4501782;516,6485215;497,510762;481,109225;466,8199919;454,2049422;442,9455995;432,8037978;423,5971595;415,1831911;405,1762337;396,2502528;388,0186318;380,4224115;373,2085297;366,2218546;359,8122504;353,7407843;348,0570182;342,5625324;336,8130943;331,1283876;325,8293048;322,1089515;311,0368495;305,8093211;300,9423723;296,3942102;292,1296595;288,1188594
Iraq;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Iran;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Italy;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Japan;PV;baseline;839,402033;798,0906767;764,3567188;736,043321;711,7780334;690,637798;671,9744368;655,316779;640,3124697;626,6916896;614,2436268;599,4388131;586,2332523;574,0549636;562,8167198;552,1441276;541,8076767;532,3249746;523,3425316;514,9336721;506,8048437;498,2988257;489,8885747;482,0488358;476,5447514;460,1641073;452,4302296;445,2298122;438,5010244;432,1918261;426,2580397
Republic of Korea;PV;baseline;839,402033;798,0906767;764,3567188;736,043321;711,7780334;690,637798;671,9744368;655,316779;640,3124697;626,6916896;614,2436268;599,4388131;586,2332523;574,0549636;562,8167198;552,1441276;541,8076767;532,3249746;523,3425316;514,9336721;506,8048437;498,2988257;489,8885747;482,0488358;476,5447514;460,1641073;452,4302296;445,2298122;438,5010244;432,1918261;426,2580397
Kuwait;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Kazakhstan;PV;baseline;854,9465133;812,870132;778,5114712;749,6737513;724,9591066;703,4273854;684,4184064;667,4522735;652,1701067;638,2970899;625,6185075;610,5395306;597,0894224;584,6856098;573,2392505;562,3690176;551,841151;542,1828434;533,0340588;524,4694798;516,1901175;507,5265807;498,9605843;490,9756651;485,3696532;468,6856638;460,8085663;453,4748077;446,6214128;440,1953775;434,1517062
Israel;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Libya;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Morocco;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Moldova;PV;baseline;854,9465133;812,870132;778,5114712;749,6737513;724,9591066;703,4273854;684,4184064;667,4522735;652,1701067;638,2970899;625,6185075;610,5395306;597,0894224;584,6856098;573,2392505;562,3690176;551,841151;542,1828434;533,0340588;524,4694798;516,1901175;507,5265807;498,9605843;490,9756651;485,3696532;468,6856638;460,8085663;453,4748077;446,6214128;440,1953775;434,1517062
Myanmar;PV;baseline;528,5123894;502,5015356;481,2616362;463,4346821;448,1565381;434,8460196;423,0950144;412,6068595;403,1597019;394,5836551;386,745986;377,4244367;369,1098243;361,442013;354,3660817;347,6463014;341,1381657;335,1675755;329,5119633;324,2174962;319,099345;313,7437041;308,4483608;303,512229;300,0466943;289,7329555;284,863477;280,3298808;276,0932367;272,1207785;268,3846908
Mexico;PV;baseline;660,6404874;628,12692;601,5770458;579,2933531;560,1956731;543,557525;528,8687685;515,7585749;503,9496278;493,2295694;483,432483;471,7805463;461,3872809;451,8025166;442,9576026;434,5578772;426,4227075;418,9594698;411,8899545;405,2718707;398,8741817;392,1796305;385,5604514;379,3902866;375,0583683;362,1661947;356,0793466;350,4123514;345,1165462;340,1509735;335,4808638
Malaysia;PV;baseline;528,5123894;502,5015356;481,2616362;463,4346821;448,1565381;434,8460196;423,0950144;412,6068595;403,1597019;394,5836551;386,745986;377,4244367;369,1098243;361,442013;354,3660817;347,6463014;341,1381657;335,1675755;329,5119633;324,2174962;319,099345;313,7437041;308,4483608;303,512229;300,0466943;289,7329555;284,863477;280,3298808;276,0932367;272,1207785;268,3846908
Nigeria;PV;baseline;718,9322942;683,5498827;654,6573726;630,4074718;609,6247024;591,5184823;575,5336591;561,2666837;548,4157707;536,7498248;526,0882896;513,4082409;502,0979227;491,6674439;482,0420963;472,9012187;464,04824;455,9264813;448,2331852;441,0311528;434,0689619;426,783715;419,5804907;412,8658996;408,1517532;394,1220349;387,498112;381,3310878;375,5680057;370,1642942;365,0821161
Netherlands;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Norway;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Oman;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Peru;PV;baseline;660,6404874;628,12692;601,5770458;579,2933531;560,1956731;543,557525;528,8687685;515,7585749;503,9496278;493,2295694;483,432483;471,7805463;461,3872809;451,8025166;442,9576026;434,5578772;426,4227075;418,9594698;411,8899545;405,2718707;398,8741817;392,1796305;385,5604514;379,3902866;375,0583683;362,1661947;356,0793466;350,4123514;345,1165462;340,1509735;335,4808638
Pakistan;PV;baseline;567,3735949;539,4501782;516,6485215;497,510762;481,109225;466,8199919;454,2049422;442,9455995;432,8037978;423,5971595;415,1831911;405,1762337;396,2502528;388,0186318;380,4224115;373,2085297;366,2218546;359,8122504;353,7407843;348,0570182;342,5625324;336,8130943;331,1283876;325,8293048;322,1089515;311,0368495;305,8093211;300,9423723;296,3942102;292,1296595;288,1188594
Poland;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
